feature,missing_count,missing_fraction
cloud_cover_next_3h,38424,1.0
precip_probability_next_3h,38424,1.0
temp_change_30m,38424,1.0
temp_change_300m,5,0.00013012700395586093
temp_change_240m,4,0.00010410160316468874
temp_change_180m,3,7.807620237351655e-05
temp_change_60m_minus_3h_avg_rate,3,7.807620237351655e-05
temp_acceleration_60m,2,5.205080158234437e-05
temp_change_120m,2,5.205080158234437e-05
temp_change_60m,1,2.6025400791172185e-05
actual_high,0,0.0
cloud_cover_now,0,0.0
current_temp,0,0.0
current_temp_minus_forecast_temp,0,0.0
current_temp_source_time,0,0.0
date,0,0.0
day_of_year_cos,0,0.0
day_of_year_sin,0,0.0
dew_point,0,0.0
forecast_error,0,0.0
forecast_high,0,0.0
forecast_horizon_hours,0,0.0
forecast_max_so_far,0,0.0
forecast_max_so_far_source_valid_time,0,0.0
forecast_source,0,0.0
forecast_temp_current_hour,0,0.0
forecast_temp_source_valid_time,0,0.0
hour_cos,0,0.0
hour_sin,0,0.0
location,0,0.0
max_so_far_minus_forecast_max_so_far,0,0.0
max_temp_so_far,0,0.0
max_temp_so_far_source_time,0,0.0
minutes_until_typical_peak,0,0.0
month,0,0.0
precipitation_now,0,0.0
prediction_clock_time,0,0.0
prediction_time,0,0.0
prediction_timestamp,0,0.0
season,0,0.0
target_date,0,0.0
temp_minus_dew_point,0,0.0
wind_dir_cos,0,0.0
wind_dir_sin,0,0.0
wind_speed,0,0.0
